Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_Date,Shipment_Date
Same Day,Consumer,United States,Des Moines,Iowa,50315.0,Central,Office Supplies,Paper,6.48,1.0,0.0,3.1104,07/11/2018,10/11/2018
Second Class,Corporate,United States,Oakland,California,94601.0,West,Technology,Phones,71.976,3.0,0.2,7.1976,13/11/2018,16/11/2018
Second Class,Corporate,United States,Oakland,California,94601.0,West,Office Supplies,Labels,3.15,1.0,0.0,1.5119999999999998,18/11/2018,22/11/2018
Standard Class,Corporate,United States,Monroe,North Carolina,28110.0,South,Furniture,Furnishings,31.984,2.0,0.2,1.999,18/11/2018,22/11/2018
Standard Class,Corporate,United States,Monroe,North Carolina,28110.0,South,Technology,Phones,71.984,2.0,0.2,25.1944,18/11/2018,22/11/2018
Standard Class,Consumer,United States,San Diego,California,92105.0,West,Office Supplies,Art,120.15,9.0,0.0,33.641999999999996,18/11/2018,22/11/2018
Standard Class,Consumer,United States,San Diego,California,92105.0,West,Technology,Phones,219.18400000000003,2.0,0.2,19.1786,18/11/2018,22/11/2018
Standard Class,Home Office,United States,Clinton,Maryland,20735.0,East,Office Supplies,Paper,28.9,5.0,0.0,14.161,18/11/2018,19/11/2018
Standard Class,Home Office,United States,Clinton,Maryland,20735.0,East,Office Supplies,Appliances,355.96,2.0,0.0,103.2284,18/11/2018,22/11/2018
Standard Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Storage,348.208,7.0,0.2,30.4682,18/11/2018,22/11/2018
Standard Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Binders,35.784,7.0,0.7,-28.6272,19/11/2018,25/11/2018
First Class,Corporate,United States,Los Angeles,California,90049.0,West,Furniture,Tables,447.84,5.0,0.2,11.196,19/11/2018,25/11/2018
First Class,Home Office,United States,San Francisco,California,94122.0,West,Office Supplies,Art,7.04,4.0,0.0,2.0416,19/11/2018,23/11/2018
First Class,Home Office,United States,San Francisco,California,94122.0,West,Furniture,Furnishings,8.73,3.0,0.0,4.1031,21/11/2018,23/11/2018
First Class,Home Office,United States,San Francisco,California,94122.0,West,Technology,Accessories,29.29,1.0,0.0,9.6657,24/11/2018,30/11/2018
First Class,Home Office,United States,San Francisco,California,94122.0,West,Office Supplies,Art,8.64,3.0,0.0,2.5056,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,2.694,3.0,0.8,-4.7145,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,2.9339999999999997,3.0,0.8,-4.9878,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Riverside,California,92503.0,West,Office Supplies,Paper,22.92,3.0,0.0,11.2308,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Storage,100.704,6.0,0.2,-16.3644,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Furniture,Furnishings,2.3280000000000003,2.0,0.6,-0.7566,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,10.78,5.0,0.8,-17.248,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Fasteners,58.368,12.0,0.2,21.888,27/11/2018,01/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Envelopes,40.968,3.0,0.2,13.8267,28/11/2018,02/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Technology,Phones,71.96,5.0,0.2,25.186,28/11/2018,28/11/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Paper,10.368,2.0,0.2,3.6288,28/11/2018,04/12/2018
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,1.192,2.0,0.8,-2.0264,29/11/2018,04/12/2018
Second Class,Consumer,United States,Encinitas,California,92024.0,West,Office Supplies,Binders,46.672,2.0,0.2,16.3352,29/11/2018,30/11/2018
Second Class,Consumer,United States,Encinitas,California,92024.0,West,Furniture,Bookcases,119.833,1.0,0.15,-12.6882,01/12/2018,05/12/2018
Second Class,Consumer,United States,Encinitas,California,92024.0,West,Technology,Accessories,119.98,2.0,0.0,57.5904,01/12/2018,05/12/2018
Second Class,Corporate,United States,San Francisco,California,94110.0,West,Office Supplies,Labels,6.3,2.0,0.0,3.0239999999999996,02/12/2018,06/12/2018
Standard Class,Consumer,United States,Roswell,Georgia,30076.0,South,Office Supplies,Paper,279.9,5.0,0.0,137.151,03/12/2018,07/12/2018
Standard Class,Consumer,United States,Roswell,Georgia,30076.0,South,Technology,Accessories,619.95,5.0,0.0,111.59100000000001,03/12/2018,08/12/2018
Standard Class,Consumer,United States,Roswell,Georgia,30076.0,South,Office Supplies,Paper,4.36,2.0,0.0,2.0492,03/12/2018,08/12/2018
Standard Class,Consumer,United States,Roswell,Georgia,30076.0,South,Office Supplies,Envelopes,15.28,2.0,0.0,7.4872,03/12/2018,08/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Technology,Phones,699.93,7.0,0.0,181.9818,03/12/2018,06/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Office Supplies,Art,22.96,7.0,0.0,6.6584,04/12/2018,10/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Furniture,Furnishings,38.6,4.0,0.0,11.58,04/12/2018,10/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Office Supplies,Art,6.63,3.0,0.0,1.7901,04/12/2018,09/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Office Supplies,Envelopes,23.34,3.0,0.0,10.9698,05/12/2018,07/12/2018
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Furniture,Chairs,1067.94,3.0,0.0,224.2674,05/12/2018,07/12/2018
Standard Class,Home Office,United States,Richmond,Indiana,47374.0,Central,Office Supplies,Art,10.16,1.0,0.0,2.6416,10/12/2018,10/12/2018
Standard Class,Home Office,United States,Richmond,Indiana,47374.0,Central,Office Supplies,Envelopes,101.88,6.0,0.0,50.94,12/12/2018,16/12/2018
Standard Class,Consumer,United States,Springfield,Virginia,22153.0,South,Furniture,Tables,343.92,4.0,0.0,75.6624,13/12/2018,17/12/2018
Standard Class,Consumer,United States,Springfield,Virginia,22153.0,South,Office Supplies,Paper,40.99,1.0,0.0,20.0851,15/12/2018,19/12/2018
Standard Class,Consumer,United States,Springfield,Virginia,22153.0,South,Office Supplies,Envelopes,63.9,5.0,0.0,28.755,15/12/2018,20/12/2018
First Class,Corporate,United States,Antioch,California,94509.0,West,Office Supplies,Paper,19.44,3.0,0.0,9.3312,17/12/2018,21/12/2018
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Storage,124.60799999999999,4.0,0.2,-23.364,17/12/2018,23/12/2018
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Labels,7.56,3.0,0.2,2.6460000000000004,18/12/2018,22/12/2018
Same Day,Consumer,United States,Homestead,Florida,33030.0,South,Office Supplies,Storage,85.22399999999999,3.0,0.2,7.4571,18/12/2018,22/12/2018
Second Class,Corporate,United States,La Porte,Indiana,46350.0,Central,Office Supplies,Envelopes,287.52,8.0,0.0,129.384,18/12/2018,22/12/2018
Second Class,Corporate,United States,La Porte,Indiana,46350.0,Central,Office Supplies,Appliances,37.68,2.0,0.0,10.5504,18/12/2018,22/12/2018
Second Class,Corporate,United States,La Porte,Indiana,46350.0,Central,Office Supplies,Paper,19.98,2.0,0.0,8.991,18/12/2018,22/12/2018
Second Class,Corporate,United States,La Porte,Indiana,46350.0,Central,Office Supplies,Art,20.58,7.0,0.0,5.5566,18/12/2018,22/12/2018
Second Class,Corporate,United States,La Porte,Indiana,46350.0,Central,Office Supplies,Binders,17.38,2.0,0.0,8.69,18/12/2018,22/12/2018
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Furniture,Furnishings,204.6,2.0,0.0,53.196000000000005,19/12/2018,23/12/2018
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Fasteners,8.72,4.0,0.0,2.8776,19/12/2018,22/12/2018
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Paper,6.48,1.0,0.0,3.1104,20/12/2018,25/12/2018
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Machines,686.32,2.0,0.2,223.054,21/12/2018,28/12/2018
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Storage,62.18,1.0,0.0,16.7886,24/12/2018,31/12/2018
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Office Supplies,Appliances,644.076,2.0,0.1,107.346,26/12/2018,02/01/2018
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Office Supplies,Fasteners,5.84,2.0,0.0,2.628,26/12/2018,28/12/2018
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Office Supplies,Binders,12.76,2.0,0.0,5.8696,26/12/2018,28/12/2018
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Technology,Phones,10.95,1.0,0.0,0.43799999999999994,26/12/2018,28/12/2018
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Technology,Copiers,599.98,2.0,0.0,209.993,26/12/2018,28/12/2018
Standard Class,Corporate,United States,Cuyahoga Falls,Ohio,44221.0,East,Furniture,Furnishings,8.352,6.0,0.2,1.2528,26/12/2018,28/12/2018
Standard Class,Corporate,United States,Reno,Nevada,89502.0,West,Office Supplies,Art,3.64,2.0,0.0,1.6380000000000001,26/12/2018,28/12/2018
Standard Class,Corporate,United States,Reno,Nevada,89502.0,West,Office Supplies,Binders,159.768,7.0,0.2,53.9217,26/12/2018,30/12/2018
First Class,Home Office,United States,Harrisonburg,Virginia,22801.0,South,Office Supplies,Storage,122.48,2.0,0.0,0.0,26/12/2018,30/12/2018
First Class,Home Office,United States,Harrisonburg,Virginia,22801.0,South,Furniture,Tables,2244.48,7.0,0.0,493.7856,26/12/2018,30/12/2018
First Class,Home Office,United States,Harrisonburg,Virginia,22801.0,South,Office Supplies,Binders,62.31,3.0,0.0,29.2857,26/12/2018,30/12/2018
First Class,Home Office,United States,Harrisonburg,Virginia,22801.0,South,Furniture,Tables,455.1,2.0,0.0,100.12200000000001,26/12/2018,31/12/2018
Second Class,Corporate,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,195.18400000000003,1.0,0.2,19.5184,27/12/2018,29/12/2018
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Appliances,362.94,3.0,0.0,90.735,27/12/2018,29/12/2018
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Binders,11.54,2.0,0.0,5.77,29/12/2018,01/01/2018
Second Class,Consumer,United States,Escondido,California,92025.0,West,Office Supplies,Art,53.94,3.0,0.0,15.6426,29/12/2018,01/01/2018
Standard Class,Home Office,United States,New York City,New York,10035.0,East,Technology,Phones,9.99,1.0,0.0,4.5954,29/12/2018,01/01/2018
Standard Class,Home Office,United States,New York City,New York,10035.0,East,Office Supplies,Binders,125.76,3.0,0.2,40.872,29/12/2018,01/01/2018
Standard Class,Home Office,United States,New York City,New York,10035.0,East,Office Supplies,Binders,25.32,5.0,0.2,9.1785,29/12/2018,04/01/2018
Standard Class,Consumer,United States,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,46.8,4.0,0.0,21.06,30/12/2018,31/12/2018
Same Day,Consumer,United States,Seattle,Washington,98115.0,West,Technology,Accessories,447.93,9.0,0.0,49.2723,30/12/2018,03/01/2018
Second Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Furnishings,109.48,2.0,0.0,33.9388,30/12/2018,01/01/2018
Second Class,Consumer,United States,New York City,New York,10035.0,East,Office Supplies,Storage,272.94,3.0,0.0,0.0,31/12/2018,04/01/2018
Second Class,Consumer,United States,New York City,New York,10035.0,East,Office Supplies,Paper,19.44,3.0,0.0,9.3312,31/12/2018,04/01/2018
Second Class,Consumer,United States,New York City,New York,10035.0,East,Office Supplies,Storage,31.92,4.0,0.0,8.2992,11/01/2020,15/01/2020
Standard Class,Consumer,United States,Royal Oak,Michigan,48073.0,Central,Office Supplies,Paper,22.38,2.0,0.0,10.7424,11/01/2019,15/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90008.0,West,Office Supplies,Binders,16.52,5.0,0.2,5.5755,14/01/2019,18/01/2019
Standard Class,Consumer,United States,Bloomington,Illinois,61701.0,Central,Office Supplies,Binders,5.176,4.0,0.8,-7.763999999999999,14/01/2019,18/01/2019
First Class,Corporate,United States,New York City,New York,10035.0,East,Office Supplies,Binders,50.111999999999995,6.0,0.2,16.2864,14/01/2019,18/01/2019
Standard Class,Home Office,United States,Concord,New Hampshire,3301.0,East,Office Supplies,Supplies,27.93,3.0,0.0,8.0997,14/01/2019,18/01/2019
Second Class,Home Office,United States,Los Angeles,California,90004.0,West,Office Supplies,Labels,11.56,4.0,0.0,5.4332,22/01/2019,27/01/2019
Standard Class,Consumer,United States,Rockville,Maryland,20852.0,East,Furniture,Chairs,172.5,2.0,0.0,51.75,24/01/2019,28/01/2019
Standard Class,Consumer,United States,Rockville,Maryland,20852.0,East,Technology,Phones,179.97,3.0,0.0,44.9925,26/01/2019,31/01/2019
Second Class,Home Office,United States,Houston,Texas,77070.0,Central,Technology,Accessories,258.69599999999997,3.0,0.2,64.67399999999999,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Lakewood,New Jersey,8701.0,East,Technology,Phones,1322.93,7.0,0.0,357.1911,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Lakewood,New Jersey,8701.0,East,Office Supplies,Art,3.76,2.0,0.0,1.0904,26/01/2019,31/01/2019
First Class,Consumer,United States,Jacksonville,North Carolina,28540.0,South,Office Supplies,Envelopes,21.744,1.0,0.2,7.3386,05/02/2019,12/02/2019
First Class,Consumer,United States,Jacksonville,North Carolina,28540.0,South,Technology,Phones,7.92,5.0,0.2,0.693,05/02/2019,12/02/2019
Standard Class,Corporate,United States,Seattle,Washington,98103.0,West,Office Supplies,Binders,12.095999999999998,7.0,0.2,4.2336,05/02/2019,12/02/2019
Standard Class,Corporate,United States,Seattle,Washington,98103.0,West,Office Supplies,Storage,485.88,6.0,0.0,9.7176,22/02/2019,24/02/2019
Standard Class,Corporate,United States,Seattle,Washington,98103.0,West,Office Supplies,Paper,25.92,4.0,0.0,12.4416,22/02/2019,24/02/2019
Standard Class,Corporate,United States,Seattle,Washington,98103.0,West,Office Supplies,Storage,197.58,2.0,0.0,53.3466,03/03/2019,08/03/2019
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Office Supplies,Appliances,81.92,4.0,0.0,22.1184,09/03/2019,15/03/2019
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Technology,Phones,889.5360000000001,8.0,0.2,66.7152,09/03/2019,15/03/2019
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Furniture,Chairs,892.2239999999999,3.0,0.2,89.2224,22/03/2019,28/03/2019
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Office Supplies,Paper,223.92,4.0,0.0,109.7208,22/03/2019,28/03/2019
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Office Supplies,Paper,23.12,4.0,0.0,11.3288,22/03/2019,28/03/2019
Same Day,Corporate,United States,Coral Springs,Florida,33065.0,South,Office Supplies,Paper,15.552,3.0,0.2,5.4432,30/03/2019,03/04/2019
Same Day,Corporate,United States,Coral Springs,Florida,33065.0,South,Furniture,Furnishings,15.712,4.0,0.2,2.5532,03/04/2019,08/04/2019
Same Day,Corporate,United States,Coral Springs,Florida,33065.0,South,Office Supplies,Storage,24.671999999999997,2.0,0.2,2.1588,14/04/2019,17/04/2019
Same Day,Corporate,United States,Coral Springs,Florida,33065.0,South,Furniture,Furnishings,55.968,1.0,0.2,-2.0988,19/04/2019,21/04/2019
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Technology,Accessories,431.92800000000005,9.0,0.2,64.7892,19/04/2019,21/04/2019
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,95.984,4.0,0.3,-4.1136,22/04/2019,22/04/2019
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,1088.792,4.0,0.8,-1850.9464,23/04/2019,28/04/2019
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Chairs,544.008,3.0,0.2,40.8006,24/04/2019,26/04/2019
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Office Supplies,Binders,1.8719999999999999,3.0,0.7,-1.4352,24/04/2019,26/04/2019
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Chairs,854.352,3.0,0.2,10.6794,24/04/2019,26/04/2019
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Office Supplies,Storage,593.568,2.0,0.2,0.0,24/04/2019,29/04/2019
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Office Supplies,Storage,338.04,3.0,0.2,-33.804,24/04/2019,29/04/2019
First Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Phones,271.96,5.0,0.2,16.9975,24/04/2019,29/04/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Storage,11.21,1.0,0.0,3.363,25/04/2019,28/04/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Binders,9.144,3.0,0.2,3.2004,05/05/2019,11/05/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Fasteners,14.07,7.0,0.0,6.8943,08/05/2019,12/05/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Art,41.86,7.0,0.0,10.465,08/05/2019,12/05/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Binders,8.544,2.0,0.2,2.8836,12/05/2019,15/05/2019
Second Class,Corporate,United States,New York City,New York,10009.0,East,Furniture,Bookcases,579.136,4.0,0.2,21.7176,15/05/2019,18/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Furniture,Chairs,141.372,2.0,0.3,-48.4704,20/05/2019,24/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,3.036,2.0,0.7,-2.3276,20/05/2019,24/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,4.503,1.0,0.7,-3.6024,20/05/2019,24/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Art,4.672,1.0,0.2,1.5768,31/05/2019,31/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Accessories,95.88,3.0,0.2,28.764,31/05/2019,31/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Furniture,Furnishings,17.024,2.0,0.2,1.7024,31/05/2019,31/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Accessories,258.69599999999997,3.0,0.2,64.67399999999999,31/05/2019,31/05/2019
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,1931.9579999999999,7.0,0.4,-386.3916,01/06/2019,06/06/2019
Standard Class,Home Office,United States,Los Angeles,California,90036.0,West,Office Supplies,Storage,249.75,9.0,0.0,44.955,01/06/2019,06/06/2019
Standard Class,Home Office,United States,Los Angeles,California,90036.0,West,Technology,Phones,255.93599999999998,8.0,0.2,28.7928,01/06/2019,06/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Furniture,Furnishings,113.79,3.0,0.0,20.4822,01/06/2019,06/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Technology,Accessories,78.15,1.0,0.0,34.385999999999996,02/06/2019,04/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Office Supplies,Binders,1.7280000000000002,1.0,0.2,0.6048,06/06/2019,10/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Office Supplies,Paper,40.56,4.0,0.0,19.8744,06/06/2019,10/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Office Supplies,Storage,182.94,3.0,0.0,3.6588,06/06/2019,10/06/2019
First Class,Consumer,United States,New York City,New York,10024.0,East,Office Supplies,Storage,193.86,2.0,0.0,11.6316,06/06/2019,10/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Envelopes,15.28,2.0,0.0,7.4872,06/06/2019,10/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Furniture,Furnishings,8.73,1.0,0.0,2.9682,06/06/2019,10/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Art,5.68,2.0,0.0,1.7608,06/06/2019,08/06/2019
Second Class,Consumer,United States,Buffalo,New York,14215.0,East,Office Supplies,Art,2.78,2.0,0.0,0.7228,07/06/2019,10/06/2019
Second Class,Consumer,United States,Buffalo,New York,14215.0,East,Office Supplies,Envelopes,79.96,2.0,0.0,35.982,07/06/2019,11/06/2019
First Class,Corporate,United States,Cincinnati,Ohio,45231.0,East,Technology,Copiers,839.988,2.0,0.4,69.999,07/06/2019,11/06/2019
Same Day,Consumer,United States,Boynton Beach,Florida,33437.0,South,Furniture,Furnishings,47.952,3.0,0.2,13.7862,13/06/2019,18/06/2019
Same Day,Consumer,United States,Boynton Beach,Florida,33437.0,South,Office Supplies,Binders,37.425,5.0,0.7,-29.94,14/06/2019,16/06/2019
Same Day,Consumer,United States,Boynton Beach,Florida,33437.0,South,Furniture,Furnishings,63.968,2.0,0.2,0.0,14/06/2019,16/06/2019
Same Day,Consumer,United States,Boynton Beach,Florida,33437.0,South,Furniture,Furnishings,165.048,3.0,0.2,41.262,20/06/2019,24/06/2019
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Furniture,Furnishings,12.35,1.0,0.0,5.434,21/06/2019,24/06/2019
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Office Supplies,Art,40.97,1.0,0.0,10.6522,21/06/2019,26/06/2019
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Office Supplies,Fasteners,22.96,2.0,0.0,10.7912,22/06/2019,26/06/2019
Standard Class,Home Office,United States,New York City,New York,10024.0,East,Technology,Phones,22.0,4.0,0.0,5.5,26/06/2019,01/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Binders,398.352,3.0,0.2,124.485,26/06/2019,01/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Fasteners,8.72,4.0,0.0,3.5752,27/06/2019,03/07/2019
Standard Class,Consumer,United States,Gulfport,Mississippi,39503.0,South,Office Supplies,Envelopes,48.69,9.0,0.0,23.8581,27/06/2019,03/07/2019
Second Class,Consumer,United States,Fresno,California,93727.0,West,Furniture,Tables,764.688,6.0,0.2,95.586,28/06/2019,28/06/2019
Second Class,Consumer,United States,Fresno,California,93727.0,West,Furniture,Tables,3610.848,12.0,0.2,135.4068,29/06/2019,03/07/2019
Second Class,Consumer,United States,Fresno,California,93727.0,West,Furniture,Bookcases,254.9745,3.0,0.15,11.9988,29/06/2019,03/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Art,38.82,6.0,0.0,17.469,14/07/2019,17/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Furniture,Chairs,1141.938,9.0,0.1,139.5702,14/07/2019,17/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Appliances,1704.56,13.0,0.0,511.36800000000005,14/07/2019,17/07/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Art,3.2,2.0,0.0,1.376,15/07/2019,18/07/2019
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209.0,Central,Technology,Phones,1099.96,4.0,0.0,285.9896,22/07/2019,25/07/2019
Standard Class,Home Office,United States,Chester,Pennsylvania,19013.0,East,Office Supplies,Art,5.247999999999999,2.0,0.2,0.5904,31/07/2019,04/08/2019
Standard Class,Home Office,United States,Chester,Pennsylvania,19013.0,East,Technology,Phones,35.91,3.0,0.4,-8.379,31/07/2019,04/08/2019
Standard Class,Home Office,United States,Chester,Pennsylvania,19013.0,East,Furniture,Furnishings,6.696000000000001,1.0,0.2,0.5022,31/07/2019,04/08/2019
Standard Class,Home Office,United States,Chester,Pennsylvania,19013.0,East,Furniture,Furnishings,43.872,2.0,0.2,11.5164,31/07/2019,05/08/2019
Second Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Binders,27.881999999999998,3.0,0.7,-20.4468,31/07/2019,04/08/2019
Second Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Storage,540.048,3.0,0.2,-47.2542,31/07/2019,04/08/2019
Second Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Technology,Accessories,255.68,8.0,0.2,76.704,02/08/2019,05/08/2019
Standard Class,Consumer,United States,Jacksonville,Florida,32216.0,South,Technology,Phones,863.88,3.0,0.2,107.985,03/08/2019,09/08/2019
Standard Class,Corporate,United States,Greenville,North Carolina,27834.0,South,Office Supplies,Binders,17.616,4.0,0.7,-14.0928,09/08/2019,14/08/2019
Second Class,Consumer,United States,Long Beach,New York,11561.0,East,Office Supplies,Binders,17.472,3.0,0.2,6.3336,11/08/2019,15/08/2019
First Class,Consumer,United States,La Porte,Indiana,46350.0,Central,Technology,Phones,69.9,2.0,0.0,18.873,11/08/2019,15/08/2019
First Class,Consumer,United States,La Porte,Indiana,46350.0,Central,Furniture,Furnishings,41.85,5.0,0.0,10.880999999999998,16/08/2019,18/08/2019
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Art,6.57,3.0,0.0,1.7739,16/08/2019,18/08/2019
Standard Class,Corporate,United States,Los Angeles,California,90045.0,West,Office Supplies,Storage,142.86,1.0,0.0,41.4294,16/08/2019,20/08/2019
Standard Class,Corporate,United States,Los Angeles,California,90045.0,West,Furniture,Chairs,292.272,6.0,0.2,18.267,16/08/2019,20/08/2019
Standard Class,Corporate,United States,Louisville,Colorado,80027.0,West,Furniture,Furnishings,29.328000000000003,3.0,0.2,3.6660000000000004,16/08/2019,20/08/2019
Standard Class,Consumer,United States,Florence,Alabama,35630.0,South,Office Supplies,Paper,12.48,2.0,0.0,5.6160000000000005,16/08/2019,20/08/2019
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,102.336,4.0,0.2,-12.792,21/08/2019,21/08/2019
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Appliances,48.792,3.0,0.8,-126.8592,22/08/2019,24/08/2019
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Binders,44.848,8.0,0.8,-67.27199999999999,24/08/2019,28/08/2019
Same Day,Consumer,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Paper,10.368,2.0,0.2,3.6288,24/08/2019,28/08/2019
Same Day,Consumer,United States,Fort Worth,Texas,76106.0,Central,Furniture,Chairs,388.43,5.0,0.3,-88.78399999999999,29/08/2019,02/09/2019
Same Day,Consumer,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Paper,14.352,3.0,0.2,5.2026,29/08/2019,02/09/2019
Same Day,Consumer,United States,Fort Worth,Texas,76106.0,Central,Technology,Accessories,63.992,1.0,0.2,-7.1991,01/09/2019,05/09/2019
